,City,date,mean,std,Cluster,Cluster_Label
37,Boston_MA,2020-02-07,64.38095238095238,47.2741749695076,2,Kapali
38,Boston_MA,2020-02-08,300.57142857142856,195.90496967370976,0,Gunesli
39,Boston_MA,2020-02-09,228.0952380952381,178.7159491377042,0,Gunesli
40,Boston_MA,2020-02-10,42.904761904761905,28.826905421679868,2,Kapali
41,Boston_MA,2020-02-11,17.38095238095238,6.461239745406377,2,Kapali
42,Boston_MA,2020-02-12,306.6190476190476,187.28066536363977,0,Gunesli
43,Boston_MA,2020-02-13,34.76190476190476,21.38201291250373,2,Kapali
44,Boston_MA,2020-02-14,26.19047619047619,12.812568234429222,2,Kapali
45,Boston_MA,2020-02-15,384.04761904761904,220.14460615479,0,Gunesli
46,Boston_MA,2020-02-16,128.8095238095238,70.81710178171586,2,Kapali
47,Boston_MA,2020-02-17,389.85714285714283,207.11911686618546,0,Gunesli
48,Boston_MA,2020-02-18,58.76190476190476,50.0488808685117,2,Kapali
49,Boston_MA,2020-02-19,366.4761904761905,196.31240894238422,0,Gunesli
50,Boston_MA,2020-02-20,322.76190476190476,175.74325158079463,0,Gunesli
51,Boston_MA,2020-02-21,422.9047619047619,215.24704522058016,0,Gunesli
52,Boston_MA,2020-02-22,416.8095238095238,211.46290905206496,0,Gunesli
53,Boston_MA,2020-02-23,415.4761904761905,209.47186423183877,0,Gunesli
54,Boston_MA,2020-02-24,394.8636363636364,224.1526468523383,0,Gunesli
55,Boston_MA,2020-02-25,177.5909090909091,124.44951513839585,2,Kapali
56,Boston_MA,2020-02-26,174.27272727272728,108.28629681507294,2,Kapali
57,Boston_MA,2020-02-27,247.63636363636363,201.86618515728856,0,Gunesli
58,Boston_MA,2020-02-28,385.6521739130435,255.28711264265365,0,Gunesli
59,Boston_MA,2020-03-01,424.39130434782606,244.09605768118024,0,Gunesli
60,Boston_MA,2020-03-02,297.4347826086956,162.54896495488717,0,Gunesli
61,Boston_MA,2020-03-03,300.1304347826087,192.64081139114512,0,Gunesli
62,Boston_MA,2020-03-04,278.39130434782606,127.64572390033095,0,Gunesli
63,Boston_MA,2020-03-05,443.17391304347825,246.17319331462426,0,Gunesli
64,Boston_MA,2020-03-06,264.7826086956522,214.40572340599726,0,Gunesli
65,Boston_MA,2020-03-07,439.17391304347825,260.4511212516944,1,Kaotik
66,Boston_MA,2020-03-08,340.2608695652174,165.20764273299014,0,Gunesli
67,Boston_MA,2020-03-09,426.0869565217391,233.18777315589918,0,Gunesli
68,Boston_MA,2020-03-10,243.1304347826087,177.26849290574765,0,Gunesli
69,Boston_MA,2020-03-11,349.7391304347826,204.0798011009206,0,Gunesli
